dataset_id,model_type,method,ate_hat
228,Parametric,Levis IWOR,0.2502573879913624
229,Non-Parametric,Levis IWOR,0.27024976027899994
229,Parametric,Levis IWOR,0.2562206713948732
230,Non-Parametric,Levis IWOR,0.26799130948937044
230,Parametric,Levis IWOR,0.25564323367243585
231,Non-Parametric,Levis IWOR,0.2712490301048577
231,Parametric,Levis IWOR,0.2588273713804138
232,Non-Parametric,Levis IWOR,0.26463292195990007
232,Parametric,Levis IWOR,0.2458087603384326
233,Non-Parametric,Levis IWOR,0.2674051160197044
233,Parametric,Levis IWOR,0.25985826205835344
234,Non-Parametric,Levis IWOR,0.2776331463536519
234,Parametric,Levis IWOR,0.2616406453257273
235,Non-Parametric,Levis IWOR,0.27265129507816077
235,Parametric,Levis IWOR,0.26071199640361464
236,Non-Parametric,Levis IWOR,0.271703983339854
236,Parametric,Levis IWOR,0.2564379412767838
237,Non-Parametric,Levis IWOR,0.2646871122323775
237,Parametric,Levis IWOR,0.25867514483529447
238,Non-Parametric,Levis IWOR,0.2686368913395436
238,Parametric,Levis IWOR,0.25272912661475594
239,Non-Parametric,Levis IWOR,0.26098217539556084
239,Parametric,Levis IWOR,0.24888591870507729
240,Non-Parametric,Levis IWOR,0.28313862468085654
240,Parametric,Levis IWOR,0.26915010001544803
241,Non-Parametric,Levis IWOR,0.2683591096647747
241,Parametric,Levis IWOR,0.24979759162554646
242,Non-Parametric,Levis IWOR,0.26837301652434975
242,Parametric,Levis IWOR,0.25670436491789395
243,Non-Parametric,Levis IWOR,0.26563737665990483
243,Parametric,Levis IWOR,0.25540988417962895
244,Non-Parametric,Levis IWOR,0.27187897252524473
244,Parametric,Levis IWOR,0.25798949200371496
245,Non-Parametric,Levis IWOR,0.27565772041663616
245,Parametric,Levis IWOR,0.2572888457914234
246,Non-Parametric,Levis IWOR,0.2643502447925896
246,Parametric,Levis IWOR,0.2513108853033191
247,Non-Parametric,Levis IWOR,0.27236518327531
247,Parametric,Levis IWOR,0.2625067332797944
248,Non-Parametric,Levis IWOR,0.2672477855297315
248,Parametric,Levis IWOR,0.25462904401008557
249,Non-Parametric,Levis IWOR,0.27839616861861005
249,Parametric,Levis IWOR,0.2686851541280882
250,Non-Parametric,Levis IWOR,0.2791144959580229
250,Parametric,Levis IWOR,0.26052229994815945
251,Non-Parametric,Levis IWOR,0.2697858323125304
251,Parametric,Levis IWOR,0.2549387471443198
252,Non-Parametric,Levis IWOR,0.29447813711371523
252,Parametric,Levis IWOR,0.2650188019722802
253,Non-Parametric,Levis IWOR,0.2643277708120604
253,Parametric,Levis IWOR,0.24477400342663677
254,Non-Parametric,Levis IWOR,0.2807685286026087
254,Parametric,Levis IWOR,0.26364770877787747
255,Non-Parametric,Levis IWOR,0.2775163884542493
255,Parametric,Levis IWOR,0.2672473982747714
256,Non-Parametric,Levis IWOR,0.25055598228652903
256,Parametric,Levis IWOR,0.2478238228123018
257,Non-Parametric,Levis IWOR,0.27396722656550776
257,Parametric,Levis IWOR,0.2639944630466164
258,Non-Parametric,Levis IWOR,0.27086298971775236
258,Parametric,Levis IWOR,0.25586093829520723
259,Non-Parametric,Levis IWOR,0.274375952128316
259,Parametric,Levis IWOR,0.2612532307673168
260,Non-Parametric,Levis IWOR,0.2742631973550518
260,Parametric,Levis IWOR,0.253165519079025
261,Non-Parametric,Levis IWOR,0.2791079195338765
261,Parametric,Levis IWOR,0.259245242923315
262,Non-Parametric,Levis IWOR,0.26724243627847677
262,Parametric,Levis IWOR,0.2578761908478413
263,Non-Parametric,Levis IWOR,0.26235393990015976
263,Parametric,Levis IWOR,0.25014301572513864
264,Non-Parametric,Levis IWOR,0.27753463033170844
264,Parametric,Levis IWOR,0.25561774090930856
265,Non-Parametric,Levis IWOR,0.26985211279242227
265,Parametric,Levis IWOR,0.25713212862847146
266,Non-Parametric,Levis IWOR,0.276571246269996
266,Parametric,Levis IWOR,0.264943061499192
267,Non-Parametric,Levis IWOR,0.2759192041853481
267,Parametric,Levis IWOR,0.25539388332128754
268,Non-Parametric,Levis IWOR,0.2590792643127824
268,Parametric,Levis IWOR,0.24932838234126492
269,Non-Parametric,Levis IWOR,0.2707117569072595
269,Parametric,Levis IWOR,0.2628478228663216
270,Non-Parametric,Levis IWOR,0.2729439067614424
270,Parametric,Levis IWOR,0.2530858417298203
271,Non-Parametric,Levis IWOR,0.2638737606726611
271,Parametric,Levis IWOR,0.2512682561268964
272,Non-Parametric,Levis IWOR,0.2693368017838662
272,Parametric,Levis IWOR,0.25619893134236504
273,Non-Parametric,Levis IWOR,0.2696815190841516
273,Parametric,Levis IWOR,0.25783105255217625
274,Non-Parametric,Levis IWOR,0.2720311747337617
